t_ms,pd,vd,an,ae,ad,q0,q1,q2,q3,ax,ay,az,hax,hay,haz,gx,gy,gz,mx,my,mz,baro_temp,baro_press,baro_alt,batt_mv,batt_pct
12046,-29.657,25.929,-2.023,8.886,13.063,0.95587,-0.25961,0.04199,0.13295,-0.039,0.650,0.759,0.489,0.928,1.172,-0.793,-0.427,0.366,2.989,0.900,2.767,301.19,100660.2,55.48,0,0
13186,-38.560,13.272,-2.017,8.174,4.869,0.75822,-0.64611,-0.00209,0.08376,-0.041,0.651,0.755,0.586,1.026,1.466,-0.488,-0.610,0.610,2.990,0.902,2.768,301.26,100660.3,55.48,0,0
14346,-42.510,6.143,-0.692,2.329,0.310,0.45940,-0.88760,-0.04021,0.02518,-0.040,0.657,0.755,0.489,1.124,1.172,-0.671,-0.488,0.549,2.991,0.900,2.765,301.37,100659.9,55.52,0,0
15499,-40.285,7.590,1.264,-4.602,1.336,0.10119,-0.99122,-0.07515,-0.05349,-0.042,0.647,0.752,0.293,1.221,1.221,-2.930,-0.183,0.366,2.987,0.898,2.763,301.44,100660.0,55.50,0,0
16639,-35.410,10.161,-1.699,5.854,2.191,0.63741,-0.76784,-0.01173,0.07080,-0.036,0.657,0.752,0.830,1.075,1.221,0.000,-0.122,0.427,2.988,0.896,2.762,301.55,100660.3,55.48,0,0
17809,-2.844,36.092,-12.033,-3.821,12.704,0.55834,0.29358,0.66624,-0.39852,-0.026,-1.300,-0.306,0.635,-0.733,0.489,282.837,309.570,90.881,-0.725,3.170,-1.618,301.63,100660.1,55.50,0,0
18937,12.398,30.406,-5.176,-6.204,4.569,0.81738,0.42123,0.39127,0.00849,-0.239,-0.948,-0.085,0.586,-0.440,0.586,-9.033,-7.385,2.563,-0.147,0.155,-0.098,301.73,100660.4,55.47,0,0
20197,29.515,24.626,-1.261,0.760,0.313,0.65221,0.73060,0.08998,0.18199,-0.227,-0.949,-0.045,0.489,-0.635,0.391,3.052,-2.991,-16.418,-0.142,0.443,-0.289,301.90,100660.9,55.43,0,0
21412,49.278,22.516,0.157,-0.045,-0.049,0.77454,0.40728,0.42999,-0.22433,0.851,-0.425,-0.284,1.270,0.293,0.342,-0.427,-0.610,-0.488,-1.761,0.164,3.549,302.00,100660.8,55.44,0,0
22460,71.410,23.850,-5.035,2.146,1.591,0.57057,0.41765,0.65259,-0.27456,0.850,-0.431,-0.288,1.808,-0.098,0.391,-0.427,-0.549,0.366,-1.761,0.164,3.549,302.10,100660.9,55.43,0,0
23725,97.764,24.548,6.095,-2.515,2.533,0.92474,0.34137,0.11290,-0.12686,0.852,-0.433,-0.290,1.319,0.244,0.489,-0.549,-0.488,0.610,-1.763,0.163,3.553,302.20,100660.7,55.44,0,0
24848,116.391,15.557,-1.474,0.507,-0.114,0.72648,0.39406,0.50781,-0.24102,0.863,-0.412,-0.302,1.759,0.049,0.489,0.305,1.404,-1.343,-1.693,0.165,3.462,302.29,100660.7,55.45,0,0
26138,146.344,23.456,8.885,-2.567,6.589,0.94367,0.31406,-0.10635,-0.02835,0.871,-0.403,-0.278,1.612,0.049,0.342,-0.427,-0.122,0.122,-1.683,0.164,3.441,302.41,100661.1,55.41,0,0
27143,145.882,3.868,2.620,-0.850,0.145,0.83786,0.38395,0.34295,-0.18419,0.871,-0.400,-0.272,1.563,-0.147,0.440,-0.610,-0.427,0.244,-1.685,0.163,3.444,302.49,100661.4,55.38,0,0
28511,123.808,-5.810,-4.843,1.436,1.295,0.59043,0.37572,0.66178,-0.27106,0.871,-0.396,-0.275,1.661,-0.195,0.391,-0.732,-0.000,0.671,-1.679,0.163,3.436,302.61,100660.8,55.43,9,0
29681,93.483,-14.613,5.785,-1.673,1.833,0.91123,0.35651,0.17288,-0.11815,0.875,-0.396,-0.278,1.368,-0.049,0.586,-0.549,-0.366,0.549,-6.193,-8.000,6.140,302.70,100661.2,55.40,0,0
30911,42.567,-25.630,-2.254,0.529,0.167,0.70052,0.37438,0.55832,-0.23960,0.872,-0.394,-0.281,1.466,0.049,0.586,-0.549,-0.610,0.000,-6.123,-8.000,6.116,302.80,100661.1,55.41,0,0
31974,3.400,-23.765,7.227,-1.852,3.357,0.93193,0.34578,0.08238,-0.08016,0.878,-0.394,-0.281,1.612,0.049,0.782,-0.671,-0.977,0.122,-6.101,-8.000,6.091,302.86,100661.0,55.42,0,0
33059,-40.877,-30.090,-0.299,-0.005,0.020,0.76254,0.37479,0.48283,-0.20913,0.874,-0.394,-0.274,1.514,0.147,0.733,-0.793,-0.305,0.427,-6.106,-8.000,6.070,302.95,100661.1,55.41,0,0
34214,-63.847,-16.808,8.999,-0.677,6.244,0.92088,0.38398,-0.05808,0.03020,0.872,-0.392,-0.276,1.563,0.049,0.635,-0.793,-0.366,0.549,-6.109,-8.000,6.083,303.05,100661.3,55.39,0,0
35247,-89.895,-22.982,1.835,-0.168,0.300,0.81727,0.38350,0.39852,-0.16389,0.871,-0.392,-0.272,1.417,-0.000,0.391,-0.244,-0.549,0.549,-6.103,-8.000,6.079,303.12,100661.3,55.39,0,0
36387,-106.556,-18.720,-5.190,0.367,1.596,0.60538,0.31868,0.67518,-0.27782,0.872,-0.395,-0.276,1.710,0.440,0.440,-0.732,-0.305,0.366,-6.093,-8.000,6.072,303.19,100661.4,55.39,0,0
37577,-117.554,-13.561,6.128,-0.375,2.321,0.90207,0.38940,0.18020,-0.05673,0.873,-0.396,-0.279,1.612,0.049,0.195,-0.793,-0.122,0.427,-6.101,-8.000,6.071,303.29,100661.2,55.40,0,0
38625,-127.451,-13.686,-1.578,-0.009,0.264,0.73427,0.34643,0.54327,-0.21074,0.875,-0.392,-0.275,2.052,0.049,0.489,-0.732,-0.549,0.305,-6.101,-8.000,6.070,303.34,100661.2,55.40,0,0
39765,-121.639,-0.561,8.397,0.062,4.992,0.91478,0.40323,0.02501,0.03058,0.874,-0.391,-0.276,1.856,0.049,0.684,-0.427,-0.244,0.366,-6.098,-8.000,6.070,303.40,100660.6,55.45,0,0
40935,-121.973,-3.143,-0.424,-0.109,0.220,0.76879,0.35024,0.50314,-0.18439,0.871,-0.390,-0.272,1.466,0.244,0.684,-0.793,-0.244,0.549,-6.101,-8.000,6.079,303.48,100661.1,55.41,0,0
42153,-97.916,15.300,8.974,1.861,6.703,0.86971,0.47617,-0.03246,0.12646,0.873,-0.394,-0.274,1.514,-0.293,0.244,-0.610,-0.427,0.671,-6.093,-8.000,6.067,303.55,100660.8,55.44,0,0
43293,-87.497,9.759,0.732,0.012,0.192,0.79732,0.36078,0.45944,-0.15328,0.873,-0.394,-0.274,1.319,0.147,0.830,-0.610,-0.488,0.305,-6.091,-8.000,6.070,303.64,100660.9,55.43,0,0
44508,-64.170,16.547,-6.209,-0.281,2.309,0.57653,0.26506,0.72085,-0.28092,0.874,-0.396,-0.279,1.710,0.342,0.928,-0.610,-0.549,0.244,-6.095,-8.000,6.075,303.68,100661.0,55.42,0,0
45586,-46.929,16.340,3.860,0.107,0.917,0.86596,0.37934,0.31789,-0.07880,0.873,-0.391,-0.274,1.319,0.244,0.635,-0.671,-0.732,0.427,-6.097,-8.000,6.078,303.76,100660.8,55.44,0,0
46836,-27.738,16.959,-3.913,-0.274,0.877,0.64576,0.30349,0.65525,-0.25007,0.898,-0.371,-0.224,1.612,0.293,0.830,-0.549,-1.587,-2.075,-6.502,-8.000,5.099,303.81,100660.7,55.44,0,0
47991,-7.123,21.814,7.052,0.418,3.081,0.89289,0.41810,0.17092,-0.00284,0.902,-0.370,-0.214,1.563,0.440,0.879,0.000,-0.793,-0.061,-6.466,-8.000,5.054,303.89,100660.9,55.43,0,0
49084,1.013,15.955,-1.623,0.675,-0.003,0.70145,0.36812,0.58223,-0.17999,0.916,-0.379,-0.219,1.563,0.195,0.733,3.357,3.906,1.404,-6.644,-8.000,4.787,303.94,100660.9,55.43,0,0
50239,18.759,24.173,7.592,-3.658,4.852,0.97030,0.21033,0.07324,-0.10019,0.912,-0.354,-0.208,1.612,-0.147,0.977,-0.732,-0.305,0.610,-6.253,-8.000,4.582,303.99,100660.1,55.50,0,0
51414,22.263,15.579,1.116,-0.591,0.072,0.79576,0.33077,0.48070,-0.15881,0.910,-0.351,-0.205,1.661,0.147,0.879,-0.793,-0.427,0.366,-6.233,-8.000,4.577,304.07,100661.3,55.40,0,0
52492,25.725,14.213,-3.568,2.188,0.917,0.60110,0.39481,0.67760,-0.15702,0.906,-0.356,-0.204,1.514,0.195,0.928,-0.793,-0.366,0.549,-6.287,-8.000,4.591,304.12,100661.3,55.39,0,0
53602,27.840,14.013,5.071,-2.971,1.918,0.92470,0.23980,0.26324,-0.13690,0.911,-0.357,-0.214,1.759,0.147,1.319,-0.488,-0.122,0.549,-6.251,-8.000,4.583,304.18,100661.5,55.38,0,0
54635,22.695,8.503,-0.273,0.175,0.003,0.75064,0.34550,0.54294,-0.15057,0.903,-0.357,-0.208,1.710,-0.000,0.830,-0.366,-0.183,0.366,-6.278,-8.000,4.591,304.23,100661.3,55.39,0,0
55795,30.482,18.652,7.216,-5.329,6.090,0.98497,0.08567,0.04786,-0.14616,0.905,-0.354,-0.207,1.710,0.147,0.830,-0.732,-0.427,0.549,-6.265,-8.000,4.575,304.28,100661.2,55.40,0,0
56950,24.838,9.230,0.748,-1.727,0.439,0.80522,0.24300,0.52969,-0.10571,0.875,-0.384,-0.162,1.710,0.049,0.586,-9.399,12.451,2.991,-6.530,-8.000,4.446,304.32,100660.8,55.44,0,0
58178,21.849,7.080,-2.213,3.145,0.725,0.60675,0.41511,0.67876,-0.00433,0.920,-0.372,-0.110,1.710,0.049,0.879,-1.282,-1.648,0.244,-6.778,-8.000,3.933,304.41,100661.4,55.39,0,0
59243,20.013,7.647,2.651,-5.503,2.161,0.87025,0.07921,0.43272,-0.22396,0.932,-0.336,-0.085,1.856,0.098,0.391,0.549,-0.793,-1.404,-6.304,-8.000,3.227,304.42,100661.0,55.42,0,0
60463,10.491,2.043,-0.328,0.986,0.063,0.70366,0.34292,0.61996,-0.06392,0.932,-0.336,-0.087,1.759,-0.098,0.830,-0.488,-1.953,-0.244,-6.219,-8.000,3.029,304.48,100661.3,55.40,0,0
