Designator,Mid X,Mid Y,Rotation,Layer
3V3LED1,116.07,-88.63,270.0,top
BOOTJUMPER1,93.675,-87.04,270.0,top
C1,105.47,-86.24,90.0,top
C10,103.35,-89.62,0.0,top
C11,113.25,-89.95,180.0,top
C12,112.69,-101.08,90.0,top
C13,110.9,-87.13,270.0,top
C14,107.02,-87.0,90.0,top
C15,118.67,-101.17,0.0,top
C16,118.66,-100.2,180.0,top
C17,119.29,-96.53,0.0,top
C18,119.29,-98.42,0.0,top
C19,117.25,-100.67,90.0,top
C2,106.34,-91.57,90.0,top
C20,117.64,-102.13,180.0,top
C21,115.68,-87.24,0.0,top
C22,115.15,-86.32,180.0,top
C23,117.02,-85.66,0.0,top
C24,119.26,-85.66,0.0,top
C25,103.58,-97.7,270.0,top
C26,99.91,-98.3,0.0,top
C27,102.19,-98.3,0.0,top
C29,88.104377,-94.555822,270.0,top
C3,105.35,-91.22,90.0,top
C30,88.37,-92.16,90.0,top
C31,93.175,-94.367966,270.0,top
C32,93.495,-90.42,90.0,top
C33,92.53,-90.44,90.0,top
C34,101.85,-93.5,90.0,top
C35,102.77,-93.5,90.0,top
C39,119.29,-97.47,0.0,top
C4,104.5,-86.24,90.0,top
C40,111.28,-100.75,270.0,bottom
C5,103.52,-86.24,90.0,top
C6,103.99,-88.64,180.0,top
C7,107.18,-89.97,180.0,top
C8,106.01,-88.98,180.0,top
C9,111.24,-99.66,270.0,top
D1,122.11,-96.73,180.0,top
ENJUMPER1,99.85,-87.0,270.0,top
IC2,106.155,-99.295,180.0,bottom
J1,125.3,-100.95,90.0,top
J2,127.53,-96.13,180.0,top
J3,125.5,-89.375,180.0,top
J4,95.47,-99.35,270.0,top
L1,103.98,-87.66,0.0,top
L2,109.29,-89.47,90.0,top
L3,90.8875,-96.925,0.0,top
Q1,133.74,-93.8675,90.0,top
R1,103.87,-91.64,0.0,top
R10,131.5,-94.83,270.0,top
R12,131.32,-92.41,90.0,top
R13,123.11,-93.48,0.0,top
R14,121.21,-93.48,0.0,top
R15,105.52,-98.7,270.0,top
R16,104.53,-97.72,270.0,top
R17,90.46,-90.917966,180.0,top
R18,101.86,-91.652715,90.0,top
R19,101.86,-89.792715,90.0,top
R2,115.08,-88.63,90.0,top
R3,103.38,-90.62,0.0,top
R4,115.675,-90.03,180.0,top
R5,104.83,-92.97,0.0,top
R6,107.03,-94.99,90.0,top
R7,105.95,-97.25,0.0,top
R9,112.725,-86.45,90.0,top
TXLED1,113.76,-86.45,270.0,top
U1,104.85,-95.11,0.0,top
U10,90.642926,-93.187966,270.0,top
U11,97.67,-91.625,0.0,top
U2,111.665,-94.6,0.0,top
U4,117.075,-97.625,180.0,top
U5,117.97,-93.9,270.0,top
U6,114.95,-101.05,0.0,top
U7,118.45,-87.94,90.0,top
U8,101.07,-100.47,180.0,top
U9,101.06,-96.13,0.0,top
USBLED1,122.205,-94.48,180.0,top
Y1,108.96,-87.17,0.0,top
